checkpoint_step,delta_NDCG@10,delta_HR@10,delta_NDCG@50,delta_HR@50
333,0.001899999999999999,0.001899999999999999,0.0022000000000000075,0.0031000000000000194
666,0.001799999999999996,0.0005999999999999894,0.002699999999999994,0.004799999999999999
999,0.0023999999999999994,0.0012000000000000066,0.0020000000000000018,-0.0002999999999999947
1332,0.0034000000000000002,0.004799999999999999,0.003500000000000003,0.005299999999999999
1665,0.0013999999999999985,0.0013999999999999985,0.0010000000000000009,-0.0002999999999999947
1998,0.0031999999999999945,0.0025000000000000022,0.003699999999999995,0.005099999999999993
2331,0.0021000000000000046,0.0030000000000000027,0.002599999999999991,0.004899999999999988
2664,0.002799999999999997,0.003699999999999995,0.002699999999999994,0.003500000000000003
2997,0.0029,0.004299999999999998,0.002799999999999997,0.004599999999999993
3326,0.0029,0.0040999999999999925,0.002699999999999994,0.003899999999999987
