experiment,label,family,checkpoint,checkpoint_step,NDCG@10,HR@10,NDCG@50,HR@50,delta_NDCG@10_vs_SFT,delta_HR@10_vs_SFT,delta_NDCG@50_vs_SFT,delta_HR@50_vs_SFT,view
Instruments-grec-grpo-ranking-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,Dynamic hint + ranking,hint_main,checkpoint-1665,1665,0.0911,0.1138,0.1058,0.1822,0.008800000000000002,0.004400000000000001,0.007300000000000001,-0.0022000000000000075,best
Instruments-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,Dynamic hint rule-only (old),hint_main,checkpoint-1665,1665,0.0919,0.116,0.108,0.1905,0.009599999999999997,0.006600000000000009,0.009499999999999995,0.006099999999999994,best
Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,Dynamic hint rule-only + gather fix,hint_main,checkpoint-2997,2997,0.0936,0.1169,0.1083,0.1855,0.011300000000000004,0.007500000000000007,0.00979999999999999,0.0010999999999999899,best
Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,Dynamic hint sid-only,hint_main,checkpoint-2394,2394,0.0921,0.1155,0.1065,0.183,0.009800000000000003,0.006100000000000008,0.007999999999999993,-0.0014000000000000123,best
Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,Fixed hint mixed-single,hint_main,checkpoint-3326,3326,0.0953,0.1193,0.1114,0.1938,0.012999999999999998,0.009900000000000006,0.012899999999999995,0.009399999999999992,best
Instruments-grec-grpo-rule-only-fixed-hint-task-index-fix-beam16-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,Fixed hint task+index early,hint_main,checkpoint-666,666,0.0894,0.1131,0.1051,0.1864,0.007099999999999995,0.003700000000000009,0.006599999999999995,0.0020000000000000018,best
Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,Fixed hint taskfix b16,hint_main,checkpoint-2997,2997,0.0931,0.1189,0.1094,0.1941,0.010800000000000004,0.009500000000000008,0.010899999999999993,0.009699999999999986,best
Instruments-grec-grpo-prefix-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix old alias,legacy,checkpoint-1665,1665,0.0863,0.106,0.0985,0.1631,0.0040000000000000036,-0.0034000000000000002,0.0,-0.021300000000000013,best
Instruments-grec-grpo-prefix-qwen2.5-3b-qwen4B-4-256-from-sft495-backup,Prefix backup,legacy,checkpoint-333,333,0.0815,0.0998,0.0946,0.1608,-0.0007999999999999952,-0.009599999999999997,-0.0039000000000000007,-0.02360000000000001,best
Instruments-grec-grpo-prefix-seq-only-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix seq only broken run,legacy,checkpoint-1332,1332,0.0389,0.0494,0.0504,0.1023,-0.0434,-0.06,-0.048100000000000004,-0.0821,best
Instruments-grec-grpo-rule-only-qwen2.5-3b-qwen4B-4-256-from-sft495,Rule only old run,legacy,checkpoint-333,333,0.0761,0.0907,0.0885,0.1494,-0.006199999999999997,-0.018699999999999994,-0.010000000000000009,-0.035,best
Instruments-grec-grpo-qwen2.5-3b-qwen4B-4-256-from-sft495,Baseline mixed GRPO,reward_main,checkpoint-1665,1665,0.0952,0.1145,0.1071,0.1696,0.012900000000000009,0.005100000000000007,0.008599999999999997,-0.014800000000000008,best
Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,Rule only rerun,reward_main,checkpoint-2997,2997,0.096,0.1179,0.107,0.1681,0.013700000000000004,0.008500000000000008,0.008499999999999994,-0.01630000000000001,best
Instruments-grec-grpo-prefixonly-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix only,reward_main,checkpoint-1332,1332,0.0862,0.1049,0.0982,0.1612,0.0039000000000000007,-0.004500000000000004,-0.0003000000000000086,-0.0232,best
Instruments-grec-grpo-prefix-seq-only-fixbool-rerun-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix seq only rerun,reward_main,checkpoint-1332,1332,0.0857,0.1046,0.0985,0.1636,0.0034000000000000002,-0.004799999999999999,0.0,-0.020800000000000013,best
Instruments-grec-grpo-prefix-token-only-totalnorm-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix token only,reward_main,checkpoint-1665,1665,0.0815,0.1005,0.0958,0.1668,-0.0007999999999999952,-0.008899999999999991,-0.002700000000000008,-0.017600000000000005,best
Instruments-grec-grpo-prefix-tokenadv-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix tokenadv raw,reward_main,checkpoint-999,999,0.0476,0.0597,0.0564,0.0991,-0.034699999999999995,-0.049699999999999994,-0.042100000000000005,-0.08530000000000001,best
Instruments-grec-grpo-prefix-tokenadv-totalnorm-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix tokenadv totalnorm,reward_main,checkpoint-3326,3326,0.0906,0.1125,0.1054,0.1809,0.008300000000000002,0.0031000000000000055,0.0068999999999999895,-0.003500000000000003,best
Instruments-grec-grpo-prefix-tokenadv-totalnorm-errtok-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix tokenadv errtok,reward_main,checkpoint-999,999,0.0796,0.0968,0.0914,0.1513,-0.002699999999999994,-0.0126,-0.007100000000000009,-0.03310000000000002,best
