variant_key,variant_label,model_dir,checkpoint,step,max_step,observed_max_step,epoch_progress,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@5,HR@5,peak_hr50_checkpoint,peak_hr50_epoch,peak_hr50
rule_only,RL rule-only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,0.096,0.1179,0.107,0.1681,0.0911,0.1027,checkpoint-999,0.6007215874924835,0.1768
dynamic_sid_only,RL dynamic sid-only,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2394,2394,2652,2652,1.8054298642533937,0.0921,0.1155,0.1065,0.183,0.0863,0.0977,checkpoint-532,0.40120663650075417,0.1868
dynamic_gather_fix,RL dynamic gather-fix,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,0.0936,0.1169,0.1083,0.1855,0.088,0.0997,checkpoint-1332,0.8009621166566446,0.1931
ranking_dynamic,RL ranking dynamic,Instruments-grec-grpo-ranking-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1665,1665,3326,3326,1.0012026458208059,0.0911,0.1138,0.1058,0.1822,0.0861,0.0982,checkpoint-1665,1.0012026458208059,0.1822
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,0.0931,0.1189,0.1094,0.1941,0.0875,0.1014,checkpoint-666,0.4004810583283223,0.1962
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-2652,2652,2652,2652,2.0,0.0945,0.1205,0.1103,0.1935,0.0885,0.1017,checkpoint-2652,2.0,0.1935
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-3326,3326,3326,3326,2.0,0.0953,0.1193,0.1114,0.1938,0.0896,0.1019,checkpoint-2331,1.4016837041491281,0.1957
max1,RL dynamic max1,Instruments-grec-grpo-rule-only-dynamic-hint-max1-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1332,1332,3326,3326,0.8009621166566446,0.0934,0.1158,0.1095,0.1905,0.0881,0.0992,checkpoint-999,0.6007215874924835,0.1907
hintce_batch_mean,RL fixed CE batch-mean,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,0.0915,0.118,0.1081,0.1944,0.0854,0.0989,checkpoint-3326,2.0,0.1947
hintce_token_mean,RL fixed CE token-mean,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-2-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,0.0931,0.1168,0.1102,0.1951,0.0875,0.0993,checkpoint-1665,1.0012026458208059,0.1954
hintce_coef_005,RL fixed CE coef=0.005,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-3-sft495,checkpoint-1665,1665,2997,2997,1.1111111111111112,0.0945,0.118,0.1118,0.1985,0.089,0.1009,checkpoint-1665,1.1111111111111112,0.1985
single_hint_mixed,RL single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,0.0948,0.118,0.1116,0.1958,0.0892,0.1006,checkpoint-2664,1.6019242333132893,0.1958
dynamic_dual_task,RL dynamic dual-task,Instruments-grec-grpo-rule-only-dynamic-hint-sid-title-desc-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1510,1510,3012,3012,1.00265604249668,0.093,0.1153,0.1088,0.1885,0.0877,0.0989,checkpoint-1510,1.00265604249668,0.1885
fixed_dual_task,RL fixed dual-task,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-title-desc-sft495,checkpoint-2718,2718,3012,3012,1.8047808764940239,0.0939,0.1174,0.1095,0.1897,0.0883,0.0998,checkpoint-3012,2.0,0.1905
